Maths,Physics,Biology,Chemistry,English,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19,Subject_20,course
2,3,2,3,1,1,1,1,2,4,2,2,2,3,4,1,1,3,1,2,2,4,3,4,5,Btech(bachelor of technology)
3,1,2,2,2,1,1,3,2,4,3,3,1,3,4,2,2,3,2,3,2,5,3,3,4,BPharma
3,4,2,2,1,1,1,2,3,3,2,3,2,2,2,1,1,4,3,1,4,3,3,3,4,Graphics and Animation
3,4,2,1,1,1,1,1,3,2,2,2,2,3,4,2,1,3,2,1,2,1,4,4,3,Btech(bachelor of technology)
2,3,2,4,1,1,1,4,3,3,2,3,2,4,4,2,1,2,1,3,1,5,4,3,1,Btech(Data Science)
1,1,1,1,1,1,2,2,3,2,3,2,1,3,4,2,1,3,2,1,2,5,3,3,5,Bachelors in Arts
3,3,2,2,2,1,2,4,3,3,3,3,2,3,4,1,1,3,2,1,1,5,4,4,4,BCA(Bachelors in Computer Application)
3,3,2,2,1,1,2,1,2,2,2,2,2,1,4,1,1,3,3,3,4,5,4,3,3,Btech(bachelor of technology)
3,2,3,3,1,1,1,2,3,5,2,2,1,3,4,1,1,3,3,3,2,5,4,3,3,Bachelors in Arts
4,4,2,2,1,1,2,2,3,3,3,2,2,3,4,2,1,1,2,2,3,5,4,4,5,Bachelors in Architecture
4,4,2,2,1,1,1,3,3,2,3,2,1,3,4,3,1,3,3,3,2,5,4,4,3,BPharma
4,4,3,1,1,1,1,4,3,2,2,2,1,3,4,2,1,2,3,1,1,3,4,4,4,Btech(bachelor of technology)
3,3,3,2,1,1,2,4,2,3,3,4,2,3,4,3,1,3,1,2,2,5,4,4,3,BCA(Bachelors in Computer Application)
4,4,2,2,1,1,2,3,3,3,2,2,2,3,4,2,1,3,1,1,2,5,2,3,4,BPharma
4,3,1,1,1,1,2,4,3,3,2,4,1,2,4,3,1,3,2,2,2,5,4,4,3,BPharma
4,3,3,2,1,1,2,3,3,2,3,3,1,3,4,3,1,4,1,2,2,4,4,4,3,BCA(Bachelors in Computer Application)
2,3,1,2,2,1,2,3,3,4,3,3,2,4,4,4,1,3,3,1,1,3,4,3,5,Bachelors in Arts
4,4,4,2,2,1,1,4,2,3,2,3,1,2,4,3,1,4,5,1,1,5,4,4,4,BPharma
3,3,2,1,1,1,1,1,2,2,2,2,1,3,4,2,1,3,1,4,2,5,4,3,5,Btech(bachelor of technology)
4,4,4,2,2,1,2,4,3,4,3,3,2,4,4,3,1,3,2,3,2,5,4,4,4,Bachelors in Arts
2,2,2,2,1,1,2,3,4,5,2,2,2,3,4,2,2,3,2,3,2,4,3,4,4,Btech(bachelor of technology)
4,4,3,2,1,1,2,1,3,3,1,1,1,3,4,1,1,3,1,3,3,5,3,4,1,BBA
1,1,2,3,3,3,2,3,3,3,4,3,2,2,4,2,2,3,3,4,2,3,1,4,5,BCA(Bachelors in Computer Application)
4,4,4,1,2,2,2,4,3,3,3,2,1,3,4,2,2,4,2,1,3,3,4,4,4,BPharma
4,4,3,2,2,1,1,1,2,3,2,2,1,3,4,1,1,3,2,2,3,5,3,3,3,Bachelors in Arts
3,3,3,1,1,1,1,2,4,2,1,3,2,3,4,1,1,3,2,1,2,4,4,3,3,Graphics and Animation
3,3,2,1,1,1,2,2,3,3,4,4,1,4,4,2,1,4,3,3,2,4,3,3,4,BPharma
4,4,2,2,2,1,2,4,3,3,2,2,2,4,4,2,1,3,2,3,4,2,4,4,5,BCA(Bachelors in Computer Application)
2,4,2,3,2,2,2,2,2,3,2,2,2,4,3,2,1,3,3,2,4,4,4,3,3,BBA
4,4,4,3,2,1,1,1,2,3,3,2,2,4,4,2,1,3,1,3,1,4,4,3,1,BCA(Bachelors in Computer Application)
3,4,1,2,1,1,2,2,2,2,1,1,2,4,4,2,1,4,1,1,1,4,3,3,3,Btech(bachelor of technology)
4,4,3,2,2,1,1,4,2,3,4,2,1,3,4,2,2,2,2,1,1,4,3,4,3,BPharma
4,4,3,3,1,1,1,4,2,3,4,2,2,3,2,2,1,3,3,1,4,3,4,4,1,Bachelors in Arts
4,4,4,2,2,1,1,2,3,3,2,2,2,4,3,2,1,3,5,3,2,4,3,4,1,BBA
4,4,3,2,1,1,2,2,3,3,2,2,1,3,4,2,3,4,2,1,2,4,4,4,2,Graphics and Animation
4,2,2,1,1,1,2,2,3,3,3,3,1,3,4,3,1,1,1,1,2,4,4,3,5,BPharma
4,4,3,2,1,1,2,2,3,3,2,2,2,3,4,2,1,3,1,1,3,4,3,3,1,Bsc Nursing
4,4,3,2,2,1,2,1,3,4,3,3,2,3,4,3,1,2,2,1,1,4,3,3,4,BPharma
4,4,4,2,1,1,2,2,3,5,2,2,1,3,3,2,1,3,2,1,2,5,3,4,2,Btech(Data Science)
4,3,3,3,2,1,2,1,3,3,2,3,2,4,4,2,1,4,1,4,4,4,4,4,5,Btech(bachelor of technology)
4,4,4,2,2,1,2,4,2,3,4,2,2,3,4,4,1,4,1,1,4,4,4,4,3,BPharma
4,3,2,2,1,1,2,2,2,2,2,1,1,3,4,2,1,1,2,2,2,2,3,3,1,Bachelors in Architecture
1,1,2,2,2,2,2,1,1,2,2,2,2,1,3,1,1,3,2,2,1,3,4,3,5,BBA
4,3,2,2,2,1,2,1,2,3,2,2,2,4,4,2,1,1,2,1,1,4,4,3,4,BCA(Bachelors in Computer Application)
3,3,3,2,1,2,1,2,2,2,2,2,2,2,4,2,1,4,2,3,2,5,4,4,1,Btech(bachelor of technology)
3,3,1,1,1,1,2,1,4,2,1,1,2,1,4,2,1,3,2,1,3,4,4,3,1,Bachelors in Architecture
4,3,2,1,2,1,1,1,3,3,2,2,2,1,4,2,1,1,1,1,2,5,4,3,3,Btech(bachelor of technology)
2,3,2,3,1,1,2,1,2,3,2,1,2,4,4,1,1,1,1,2,3,4,3,3,1,Btech(Data Science)
